USGS,,,,,,,,°C,uS/cm,uS/cm,,,ueq/L,mg/L,mg/L,mg/L,mg/L,mg/L,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,µg/L,µg/L,µg/L,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L
SITE ID,SITE,TYPE,YEAR,MONTH,DAY,DATE,TIME,TEMP,FLDCOND,LABCOND,FLDPH,LABPH,ANC,CA,MG,NA,K,NH4,AAA,SO4,NO3,NO3_NREL,PO4,CL,F,SiO2,AL,FE,MN,LAB,DOC,TDN,NH4 calc,NO3 calc,TIN,TDN calc,DON,PO4_NREL,PO4_NREL calc,TP_NREL,TP_NREL calc,DOP,TP_HSWL,TP_UTS,CHL_A
401733105392404,LOCH.O ,NORMAL,2019,1,15,1/15/2019,16:08,0.1,24.19,27.37,,6.772,121.62425,3.319,0.468,1.074,0.253,0.025,,4.4602,1.3975,,0.005,0.2636,0.074,4.00745,,,,USFS,1.052,0.4698,0.0194125,0.31569525,0.33510775,0.4698,0.13469225,,,,,,,6.39,0.408259542
401733105392404,LOCH.O ,NORMAL,2019,1,22,1/22/2019,13:22,-0.2,12.45,25.85,,6.862,126.295,3.147,0.446,1.132,0.243,0.008,,4.3828,1.2301,,0.005,0.3042,0.074,4.100117,,,,USFS,1.469,0.6916,0.006212,0.27787959,0.28409159,0.6916,0.40750841,,,,,,,9.72,
401733105392404,LOCH.O ,NORMAL,2019,1,29,1/29/2019,13:31,0.0,25.60,26.83,,6.738,111.30825,3.108,0.494,1.24,0.232,0.021,,4.3947,1.2687,,0.005,0.2733,0.07,5.86079,,,,USFS,1.3,0.6434,0.0163065,0.28659933,0.30290583,0.6434,0.34049417,,,,,,,11.2,
401733105392404,LOCH.O ,NORMAL,2019,2,5,2/5/2019,13:33,0.0,21.03,26.42,,6.838,130.85,3.026,0.491,1.366,0.2394,0.053,,4.514,1.2272,,0.005,0.2498,0.084,,,,,USFS,1.485,0.4953,0.0411545,0.27722448,0.31837898,0.4953,0.17692102,,,,,,,,
401733105392404,LOCH.O ,BLANK,2019,2,12,2/12/2019,13:54,,1.40,1.52,,5.468,3.6584,0.005,0.018,0.014,0.027,0.002,,0.005,0.0015,,0.005,0.005,0.005,,,,,USFS,0.026,0.00163,0.001553,0.00034,0.00189,0.001967,0.000077,,,,,,,0.02,
401733105392404,LOCH.O ,NORMAL,2019,2,12,2/12/2019,13:53,0.0,24.33,25.39,,6.548,123.1688,3.036,0.464,1.135,0.238,0.029,,4.0933,1.2168,,0.005,0.2019,0.097,,,,,USFS,0.8914,0.4296,0.0225185,0.27487512,0.29739362,0.4296,0.13220638,,,,,,,12.5,
401733105392404,LOCH.O ,NORMAL,2019,2,19,2/19/2019,14:15,0.0,16.52,25.67,,6.602,129.281,2.945,0.455,1.085,0.208,0.024,,3.8368,1.2573,,0.005,0.1966,0.087,4.100117,,,,USFS,0.9826,0.48,0.018636,0.28402407,0.30266007,0.48,0.17733993,,,,,,,,0.888205402
401733105392404,LOCH.O ,NORMAL,2019,2,26,2/26/2019,12:46,0.5,24.10,25.57,,6.592,116.92,2.861,0.476,1.144,0.229,0.06,,3.9017,1.2614,,0.005,0.2516,0.094,4.594341,,,,USFS,0.9757,0.4049,0.04659,0.28495026,0.33154026,0.4049,0.07335974,,,,,,,,
401733105392404,LOCH.O ,NORMAL,2019,3,5,3/5/2019,12:34,0.0,13.92,25.79,,6.55,133.8524,2.861,0.467,1.146,0.241,0.05,,3.8539,1.2244,,0.005,0.2528,0.088,4.347229,,,,USFS,1.823,0.6018,0.038825,0.27659196,0.31541696,0.6018,0.28638304,,,,,,,35.9,
