siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO98,NB8344OW,8/16/83 16:00,8/23/83 16:30,198308,4.56,16.1, ,0.3, ,0.035, ,0.069, ,0.068, ,0.28, ,1.89, ,0.14, ,1.36,904.8,13.21,13.21,w ,            ,9/11/84
CO98,NB8615OW,8/23/83 16:30,8/30/83 16:30,198308,4.49,19, ,0.45, ,0.046, ,0.052, ,0.099, ,0.36, ,1.83, ,0.15, ,2.08,319.6,6.35,6.35,w ,            ,9/11/84
CO98,NB8580OW,8/30/83 16:30,9/6/83 16:30,198309,4.75,10, ,0.18, ,0.022, ,0.026, ,0.055, ,0.12, ,0.89, ,0.12, ,0.89,1476.4,23.37,23.37,w ,            ,9/11/84
CO98,NB8665OW,9/6/83 16:30,9/13/83 16:30,198309,4.72,13.6, ,0.38, ,0.046, ,0.037, ,0.137, ,0.27, ,1.29, ,0.18, ,1.52,236.2,3.56,3.56,w ,            ,9/11/84
CO98,NB8728OW,9/13/83 16:30,9/20/83 16:30,198309,5.77,10.1, ,0.78, ,0.101, ,0.056, ,0.114, ,0.37, ,1.48, ,0.15, ,1.78,779,14.73,14.73,w ,            ,9/11/84
CO98,NB8923OW,9/20/83 16:30,9/27/83 16:30,198309,5.5,4.6, ,0.18, ,0.03, ,0.025, ,0.067, ,0.1, ,0.59, ,0.09, ,0.56,389.2,5.08,5.08,w ,            ,9/25/86
CO98,NB9152OW,9/27/83 16:30,10/4/83 16:30,198309,5.3,5.7, ,0.26, ,0.049, ,0.04, ,0.082,<,0.02, ,0.69, ,0.13, ,0.8,-9,14.73,14.73,w ,            ,10/18/84
CO98,NB9176OW,10/4/83 16:30,10/11/83 17:00,198310,4.7,11.4, ,0.13, ,0.023, ,0.014, ,0.028, ,0.13, ,0.68, ,0.09, ,1.06,1351.9,24.38,24.38,w ,            ,10/18/84
CO98,NB9477OW,10/11/83 17:00,10/18/83 16:30,198310,5.17,6.3, ,0.14, ,0.024, ,0.009, ,0.075,<,0.02, ,0.41, ,0.07, ,0.79,301.4,25.4,25.4,w ,            ,10/18/84
CO98,NB9457OW,10/18/83 16:30,10/25/83 17:00,198310,4.86,12.2, ,0.1, ,0.021, ,0.008, ,0.061, ,0.11, ,0.53, ,0.09, ,1.38,494.7,-9.99,7.286,w ,            ,10/18/84
