lake_ID,year,ANC,Ca_mgL,Cl_mgL,DIN_mgL,DOC_mgL,DON_mgL,F_mgL,K_mgL,Mg_mgL,NH4_N_mgL,NH4_mgL,NO3_N_mgL,NO3_mgL,Na_mgL,PO4_mgL,SO4_mgL,TDN_mgL,TP_mgL,cond_uScm,pH,z_ANC,z_Ca_mgL,z_Cl_mgL,z_DIN_mgL,z_DOC_mgL,z_DON_mgL,z_F_mgL,z_K_mgL,z_Mg_mgL,z_NH4_N_mgL,z_NH4_mgL,z_NO3_N_mgL,z_NO3_mgL,z_Na_mgL,z_PO4_mgL,z_SO4_mgL,z_TDN_mgL,z_TP_mgL,z_cond_uScm,z_pH
AVALANCHE LAKE,2000,238.1333333,4.993333333,0.18,NA,NA,NA,0.04,0.236666667,0.243333333,NA,0.026666667,NA,0.963333333,0.716666667,0,1.5,NA,NA,32.1,7.026666667,0.635047816,0.996276289,0.999771373,NA,NA,NA,0.427372797,0.34001351,-0.278751671,NA,0.714953718,NA,2.425455518,0.858039228,-0.1699893,-0.025209591,NA,NA,0.73775832,0.332996878
AVALANCHE LAKE,2001,217.4,4.743333333,0.14,NA,NA,NA,0.046666667,0.226666667,0.236666667,NA,0,NA,0.973333333,0.676666667,0,1.543333333,NA,NA,29.13333333,7.346666667,0.520676381,0.905012465,0.437776129,NA,NA,NA,0.566446093,0.260084103,-0.289582763,NA,-0.810207836,NA,2.457416968,0.741438807,-0.1699893,-0.008471235,NA,NA,0.582683886,0.979558055
AVALANCHE LAKE,2002,253.4233333,5.543333333,0.19,NA,NA,NA,0.02,0.253333333,0.28,NA,0.023333333,NA,1.146666667,0.773333333,0,1.866666667,NA,NA,31.73333333,7.453333333,0.719392153,1.197056702,1.140270184,NA,NA,NA,0.010152908,0.473229187,-0.21918066,NA,0.524308523,NA,3.011415436,1.023223157,-0.1699893,0.116422648,NA,NA,0.718591817,1.195078447
AVALANCHE LAKE,2003,228.78,4.725,0.18,NA,NA,NA,0.05,0.271666667,0.388333333,NA,0.003333333,NA,1.175,0.705,0,1.773333333,NA,NA,30.08333333,7.53,0.583451956,0.898319785,0.999771373,NA,NA,NA,0.635982742,0.619766431,-0.0431754,NA,-0.619562642,NA,3.101972878,0.824030772,-0.1699893,0.080370806,NA,NA,0.632342553,1.349983728
AVALANCHE LAKE,2004,229.71,5.18,0.16,NA,NA,NA,0.045,0.27,0.265,NA,0.015,NA,0.895,0.77,0,1.985,NA,NA,30.4,7.575,0.588582122,1.064419944,0.718773751,NA,NA,NA,0.531677769,0.606444864,-0.243550619,NA,0.047695538,NA,2.207052276,1.013506455,-0.1699893,0.162131235,NA,NA,0.648895442,1.440906394
AVALANCHE LAKE,2005,198.88,4.295,0.265,NA,NA,NA,0.045,0.205,0.24,NA,0.025,NA,0.61,0.605,0.035,1.385,NA,NA,26.66666667,7.5,0.418514371,0.741346007,2.194011267,NA,NA,NA,0.531677769,0.086903723,-0.284167217,NA,0.61963112,NA,1.296150949,0.532529721,8.918519417,-0.069630611,NA,NA,0.453745593,1.289368618
AVALANCHE LAKE,2006,206.7866667,4.275,0.105,NA,NA,NA,0.025,0.2,0.245,NA,0,NA,0.725,0.6,0,1.555,NA,NA,28.76666667,7.42,0.462129974,0.734044902,-0.05396971,NA,NA,NA,0.114457881,0.04693902,-0.276043897,NA,-0.810207836,NA,1.663707625,0.517954668,-0.1699893,-0.003964755,NA,NA,0.563517383,1.127728324
AVALANCHE LAKE,2007,226.5066667,4.76,NA,NA,NA,NA,NA,0.213333333,0.236666667,NA,0.01,NA,NA,0.693333333,NA,NA,NA,NA,28.6,7.56,0.570911551,0.91109672,NA,NA,NA,NA,NA,0.153511562,-0.289582763,NA,-0.238272253,NA,NA,0.790022316,NA,NA,NA,NA,0.554805336,1.410598839
AVALANCHE LAKE,2008,241.8233333,4.87,0.146666667,NA,NA,NA,0.036666667,0.246666667,0.263333333,NA,0,NA,0.546666667,0.743333333,0.003333333,1.726666667,NA,NA,29.03333333,7.886666667,0.65540299,0.951252803,0.531442003,NA,NA,NA,0.357836149,0.419942916,-0.246258392,NA,-0.810207836,NA,1.093728432,0.935772842,0.695582958,0.062344884,NA,NA,0.577456658,2.070630039
AVALANCHE LAKE,2009,239.945,4.52,0.115,NA,NA,NA,0.045,0.2,0.235,NA,0,NA,0.26,0.775,0,1.395,NA,NA,26.15,8.21,0.645041526,0.823483449,0.086529101,NA,NA,NA,0.531677769,0.04693902,-0.292290537,NA,-0.810207836,NA,0.177500196,1.028081508,-0.1699893,-0.065767914,NA,NA,0.426738248,2.723926228
AVALANCHE LAKE,2010,202.545,3.94,0.12,NA,NA,NA,0.035,0.185,0.335,NA,0,NA,0.62,0.605,0,1.37,NA,NA,26.57,7.595,0.438731637,0.611751377,0.156778507,NA,NA,NA,0.323067825,-0.072955089,-0.129824143,NA,-0.810207836,NA,1.328112399,0.532529721,-0.1699893,-0.075424657,NA,NA,0.448692606,1.481316467
AVALANCHE LAKE,2011,231.45,3.84,0.115,NA,NA,NA,0.04,0.195,0.375,NA,0.02,NA,0.37,0.63,0,1.485,NA,NA,27.495,7.62,0.598180497,0.575245848,0.086529101,NA,NA,NA,0.427372797,0.006974317,-0.064837586,NA,0.333663329,NA,0.529076147,0.605404983,-0.1699893,-0.031003637,NA,NA,0.497044466,1.531829059
AVALANCHE LAKE,2016,278.6966667,5.403333333,0.186666667,NA,0.603333333,NA,0.046666667,0.223333333,0.26,NA,0.02,NA,0.87,0.836666667,0,2.096666667,0.216666667,NA,33.43333333,7.663333333,0.858807624,1.14594896,1.093437247,NA,-0.5827012,NA,0.566446093,0.233440968,-0.251673938,NA,0.333663329,NA,2.127148651,1.20784049,-0.1699893,0.205264689,0.662320627,NA,0.807454694,1.619384218
AVALANCHE LAKE,2019,251.72,3.35,0.11,NA,0.36,NA,0,0.19,0.26,NA,0.04,NA,0.51,0.62,0,1.63,0.14,NA,24.97,7.31,0.709996043,0.396368753,0.016279696,NA,-0.807292985,NA,-0.40706698,-0.032990386,-0.251673938,NA,1.477534494,NA,0.976536448,0.576254878,-0.1699893,0.025005476,-0.116340986,NA,0.365056957,0.90547292
AVALANCHE LAKE,2020,238.47,4.63,0.15,NA,0.73,NA,0.02,0.24,0.22,NA,0.02,NA,0.25,0.74,0,1.86,0.11,NA,28.13,7.05,0.636904973,0.863639532,0.57827494,NA,-0.465790409,NA,0.010152908,0.366656645,-0.316660496,NA,0.333663329,NA,0.145538746,0.92605614,-0.1699893,0.113847517,-0.42103466,NA,0.530237364,0.380141964
BIG ELDORADO LAKE,1985,35,1.32,0.126,NA,NA,NA,0,0.094,0.404,NA,0.014,NA,0.094,0.094,0,3.02,NA,NA,14.8,7.12,-0.485498051,-0.344693498,0.241077793,NA,NA,NA,-0.40706698,-0.800312686,-0.017722332,NA,-0.00949802,NA,-0.353059875,-0.957040652,-0.1699893,0.561920419,NA,NA,-0.16655214,0.521577221
BIG ELDORADO LAKE,1986,37.75,1.4,0.1525,NA,NA,NA,0,0.1125,0.44,NA,0.02,NA,0.1525,0.155,0,3.8,NA,NA,15,6.725,-0.470328206,-0.315489074,0.613399643,NA,NA,NA,-0.40706698,-0.652443284,0.04076557,NA,0.333663329,NA,-0.166085392,-0.779225011,-0.1699893,0.863210818,NA,NA,-0.156097684,-0.276521731
BIG ELDORADO LAKE,1987,37.33333333,1.5,0.14,NA,NA,NA,0,0.12,0.526666667,NA,0.003333333,NA,0.07,0.123333333,0,3.3,NA,NA,17,7.266666667,-0.472626668,-0.278983544,0.437776129,NA,NA,NA,-0.40706698,-0.59249623,0.181569777,NA,-0.619562642,NA,-0.429767356,-0.871533677,-0.1699893,0.670075947,NA,NA,-0.051553122,0.81791776
BIG ELDORADO LAKE,1988,29,1.78,0.182,NA,NA,NA,0,0.224,0.72,NA,0.002,NA,0.238,0.136,0,6,NA,NA,19.8,7.34,-0.518595894,-0.176768062,1.027871135,NA,NA,NA,-0.40706698,0.238769595,0.495671471,NA,-0.695820719,NA,0.107185006,-0.834610211,-0.1699893,1.713004253,NA,NA,0.094809264,0.96608803
BIG ELDORADO LAKE,1989,27.3,2,0.082,NA,NA,NA,0,0.092,0.77,NA,0.004,NA,0.12,0.148,0,6.76,NA,NA,22.6,7.48,-0.527973616,-0.096455897,-0.377116975,NA,NA,NA,-0.40706698,-0.816298567,0.576904668,NA,-0.581433603,NA,-0.269960105,-0.799630085,-0.1699893,2.006569258,NA,NA,0.241171651,1.248958545
