row,column,cor,p
annual_flux_NO3_N,annual_dep_IN,0.45,0.006
summer_flux_NO3_N,annual_dep_IN,0.43,0.007
flux_NO3_N_June,annual_dep_IN,0.3,0.07
flux_NO3_N_July,annual_dep_IN,0.4,0.014
flux_NO3_N_August,annual_dep_IN,0.42,0.01
annual_flux_NO3_N,annual_dep_NH4_N,0.26,0.124
summer_flux_NO3_N,annual_dep_NH4_N,0.18,0.284
flux_NO3_N_June,annual_dep_NH4_N,0.17,0.31
flux_NO3_N_July,annual_dep_NH4_N,0.13,0.438
flux_NO3_N_August,annual_dep_NH4_N,0.17,0.312
annual_flux_NO3_N,annual_dep_NO3_N,0.4,0.015
summer_flux_NO3_N,annual_dep_NO3_N,0.38,0.019
flux_NO3_N_June,annual_dep_NO3_N,0.16,0.352
flux_NO3_N_July,annual_dep_NO3_N,0.37,0.022
flux_NO3_N_August,annual_dep_NO3_N,0.43,0.008
annual_flux_NO3_N,annual_dep_SO4_S,-0.05,0.756
summer_flux_NO3_N,annual_dep_SO4_S,-0.01,0.956
flux_NO3_N_June,annual_dep_SO4_S,-0.08,0.64
flux_NO3_N_July,annual_dep_SO4_S,0.05,0.753
flux_NO3_N_August,annual_dep_SO4_S,0.03,0.882
annual_flux_NO3_N,annual_dep_cations,-0.43,0.009
summer_flux_NO3_N,annual_dep_cations,-0.25,0.137
flux_NO3_N_June,annual_dep_cations,-0.11,0.499
flux_NO3_N_July,annual_dep_cations,-0.23,0.17
flux_NO3_N_August,annual_dep_cations,-0.27,0.109
annual_flux_NO3_N,max_swe,0.3,0.072
summer_flux_NO3_N,max_swe,0.4,0.014
flux_NO3_N_June,max_swe,0.35,0.035
flux_NO3_N_July,max_swe,0.48,0.003
flux_NO3_N_August,max_swe,0.06,0.739
annual_flux_NO3_N,RP,0.52,0.001
summer_flux_NO3_N,RP,0.42,0.01
flux_NO3_N_June,RP,0.33,0.049
flux_NO3_N_July,RP,0.42,0.011
flux_NO3_N_August,RP,0.3,0.074
annual_flux_NO3_N,Tmax2M_Jan,-0.08,0.637
summer_flux_NO3_N,Tmax2M_Jan,-0.02,0.896
flux_NO3_N_June,Tmax2M_Jan,0.09,0.593
flux_NO3_N_July,Tmax2M_Jan,-0.15,0.394
flux_NO3_N_August,Tmax2M_Jan,-0.13,0.441
annual_flux_NO3_N,Tmax2M_Feb,-0.04,0.831
summer_flux_NO3_N,Tmax2M_Feb,0.01,0.96
flux_NO3_N_June,Tmax2M_Feb,0,0.998
flux_NO3_N_July,Tmax2M_Feb,-0.03,0.855
flux_NO3_N_August,Tmax2M_Feb,0.01,0.932
annual_flux_NO3_N,Tmax2M_Mar,-0.12,0.486
summer_flux_NO3_N,Tmax2M_Mar,-0.04,0.829
flux_NO3_N_June,Tmax2M_Mar,0.16,0.365
flux_NO3_N_July,Tmax2M_Mar,-0.2,0.24
flux_NO3_N_August,Tmax2M_Mar,-0.17,0.323
annual_flux_NO3_N,Tmax2M_Apr,-0.34,0.043
summer_flux_NO3_N,Tmax2M_Apr,-0.33,0.05
flux_NO3_N_June,Tmax2M_Apr,-0.2,0.246
flux_NO3_N_July,Tmax2M_Apr,-0.36,0.03
flux_NO3_N_August,Tmax2M_Apr,-0.2,0.242
annual_flux_NO3_N,Tmax2M_May,-0.34,0.041
summer_flux_NO3_N,Tmax2M_May,-0.45,0.006
flux_NO3_N_June,Tmax2M_May,-0.44,0.007
flux_NO3_N_July,Tmax2M_May,-0.34,0.045
flux_NO3_N_August,Tmax2M_May,-0.14,0.421
annual_flux_NO3_N,Tmax2M_Jun,-0.54,0.001
summer_flux_NO3_N,Tmax2M_Jun,-0.49,0.003
flux_NO3_N_June,Tmax2M_Jun,-0.25,0.152
flux_NO3_N_July,Tmax2M_Jun,-0.55,0.001
flux_NO3_N_August,Tmax2M_Jun,-0.42,0.011
annual_flux_NO3_N,Tmax2M_Jul,-0.1,0.556
summer_flux_NO3_N,Tmax2M_Jul,-0.12,0.503
flux_NO3_N_June,Tmax2M_Jul,-0.16,0.349
flux_NO3_N_July,Tmax2M_Jul,-0.03,0.841
flux_NO3_N_August,Tmax2M_Jul,0.18,0.305
annual_flux_NO3_N,Tmax2M_Aug,-0.3,0.075
summer_flux_NO3_N,Tmax2M_Aug,-0.16,0.358
flux_NO3_N_June,Tmax2M_Aug,-0.16,0.356
flux_NO3_N_July,Tmax2M_Aug,-0.03,0.877
flux_NO3_N_August,Tmax2M_Aug,-0.38,0.021
annual_flux_NO3_N,Tmax2M_Sep,-0.19,0.265
summer_flux_NO3_N,Tmax2M_Sep,-0.15,0.392
flux_NO3_N_June,Tmax2M_Sep,-0.14,0.407
flux_NO3_N_July,Tmax2M_Sep,-0.22,0.195
flux_NO3_N_August,Tmax2M_Sep,-0.04,0.832
annual_flux_NO3_N,Tmax2M_Oct,-0.04,0.82
summer_flux_NO3_N,Tmax2M_Oct,0.01,0.934
flux_NO3_N_June,Tmax2M_Oct,0.18,0.305
flux_NO3_N_July,Tmax2M_Oct,-0.07,0.699
flux_NO3_N_August,Tmax2M_Oct,-0.22,0.189
annual_flux_NO3_N,Tmax2M_Nov,-0.19,0.265
