row,column,cor,p
annual_flux_SO4_S,annual_dep_IN,0.23,0.179
summer_flux_SO4_S,annual_dep_IN,0.25,0.129
flux_SO4_S_June,annual_dep_IN,0.08,0.645
flux_SO4_S_July,annual_dep_IN,0.23,0.169
flux_SO4_S_August,annual_dep_IN,0.34,0.039
annual_flux_SO4_S,annual_dep_NH4_N,0.44,0.006
summer_flux_SO4_S,annual_dep_NH4_N,0.28,0.087
flux_SO4_S_June,annual_dep_NH4_N,0.22,0.183
flux_SO4_S_July,annual_dep_NH4_N,0.32,0.054
flux_SO4_S_August,annual_dep_NH4_N,0.32,0.051
annual_flux_SO4_S,annual_dep_NO3_N,-0.06,0.709
summer_flux_SO4_S,annual_dep_NO3_N,0.03,0.857
flux_SO4_S_June,annual_dep_NO3_N,-0.15,0.364
flux_SO4_S_July,annual_dep_NO3_N,0.03,0.841
flux_SO4_S_August,annual_dep_NO3_N,0.15,0.364
annual_flux_SO4_S,annual_dep_SO4_S,-0.46,0.004
summer_flux_SO4_S,annual_dep_SO4_S,-0.31,0.065
flux_SO4_S_June,annual_dep_SO4_S,-0.34,0.04
flux_SO4_S_July,annual_dep_SO4_S,-0.29,0.087
flux_SO4_S_August,annual_dep_SO4_S,-0.23,0.176
annual_flux_SO4_S,annual_dep_cations,-0.44,0.006
summer_flux_SO4_S,annual_dep_cations,-0.19,0.257
flux_SO4_S_June,annual_dep_cations,-0.12,0.476
flux_SO4_S_July,annual_dep_cations,-0.3,0.073
flux_SO4_S_August,annual_dep_cations,-0.26,0.119
annual_flux_SO4_S,max_swe,0.24,0.153
summer_flux_SO4_S,max_swe,0.38,0.021
flux_SO4_S_June,max_swe,0.29,0.077
flux_SO4_S_July,max_swe,0.44,0.006
flux_SO4_S_August,max_swe,0.12,0.491
annual_flux_SO4_S,RP,0.45,0.005
summer_flux_SO4_S,RP,0.3,0.074
flux_SO4_S_June,RP,0.26,0.123
flux_SO4_S_July,RP,0.34,0.04
flux_SO4_S_August,RP,0.28,0.091
annual_flux_SO4_S,Tmax2M_Jan,-0.02,0.904
summer_flux_SO4_S,Tmax2M_Jan,0.04,0.817
flux_SO4_S_June,Tmax2M_Jan,0.06,0.724
flux_SO4_S_July,Tmax2M_Jan,-0.04,0.801
flux_SO4_S_August,Tmax2M_Jan,-0.06,0.733
annual_flux_SO4_S,Tmax2M_Feb,-0.27,0.104
summer_flux_SO4_S,Tmax2M_Feb,-0.17,0.305
flux_SO4_S_June,Tmax2M_Feb,-0.16,0.347
flux_SO4_S_July,Tmax2M_Feb,-0.17,0.304
flux_SO4_S_August,Tmax2M_Feb,-0.19,0.252
annual_flux_SO4_S,Tmax2M_Mar,-0.2,0.248
summer_flux_SO4_S,Tmax2M_Mar,-0.08,0.643
flux_SO4_S_June,Tmax2M_Mar,-0,0.979
flux_SO4_S_July,Tmax2M_Mar,-0.23,0.174
flux_SO4_S_August,Tmax2M_Mar,-0.22,0.206
annual_flux_SO4_S,Tmax2M_Apr,-0.46,0.005
summer_flux_SO4_S,Tmax2M_Apr,-0.42,0.011
flux_SO4_S_June,Tmax2M_Apr,-0.22,0.201
flux_SO4_S_July,Tmax2M_Apr,-0.49,0.002
flux_SO4_S_August,Tmax2M_Apr,-0.36,0.033
annual_flux_SO4_S,Tmax2M_May,-0.5,0.002
summer_flux_SO4_S,Tmax2M_May,-0.58,0
flux_SO4_S_June,Tmax2M_May,-0.5,0.002
flux_SO4_S_July,Tmax2M_May,-0.45,0.005
flux_SO4_S_August,Tmax2M_May,-0.27,0.107
annual_flux_SO4_S,Tmax2M_Jun,-0.46,0.006
