row,column,cor,p
annual_flux_SiO2,annual_dep_IN,0.34,0.039
summer_flux_SiO2,annual_dep_IN,0.29,0.078
flux_SiO2_June,annual_dep_IN,0.19,0.268
flux_SiO2_July,annual_dep_IN,0.23,0.175
flux_SiO2_August,annual_dep_IN,0.35,0.032
annual_flux_SiO2,annual_dep_NH4_N,0.27,0.108
summer_flux_SiO2,annual_dep_NH4_N,0.18,0.294
flux_SiO2_June,annual_dep_NH4_N,0.26,0.116
flux_SiO2_July,annual_dep_NH4_N,0.03,0.849
flux_SiO2_August,annual_dep_NH4_N,0.03,0.842
annual_flux_SiO2,annual_dep_NO3_N,0.19,0.25
summer_flux_SiO2,annual_dep_NO3_N,0.17,0.319
flux_SiO2_June,annual_dep_NO3_N,-0.02,0.885
flux_SiO2_July,annual_dep_NO3_N,0.24,0.153
flux_SiO2_August,annual_dep_NO3_N,0.37,0.024
annual_flux_SiO2,annual_dep_SO4_S,-0.22,0.181
summer_flux_SiO2,annual_dep_SO4_S,-0.16,0.338
flux_SiO2_June,annual_dep_SO4_S,-0.31,0.061
flux_SiO2_July,annual_dep_SO4_S,0.05,0.786
flux_SiO2_August,annual_dep_SO4_S,0.13,0.459
annual_flux_SiO2,annual_dep_cations,-0.33,0.045
summer_flux_SiO2,annual_dep_cations,-0.23,0.167
flux_SiO2_June,annual_dep_cations,-0.22,0.199
flux_SiO2_July,annual_dep_cations,-0.16,0.334
flux_SiO2_August,annual_dep_cations,-0.1,0.551
annual_flux_SiO2,max_swe,0.42,0.01
summer_flux_SiO2,max_swe,0.49,0.002
flux_SiO2_June,max_swe,0.42,0.01
flux_SiO2_July,max_swe,0.54,0.001
flux_SiO2_August,max_swe,0.28,0.095
annual_flux_SiO2,RP,0.29,0.084
summer_flux_SiO2,RP,0.15,0.367
flux_SiO2_June,RP,0.11,0.499
flux_SiO2_July,RP,0.22,0.185
flux_SiO2_August,RP,0.13,0.456
annual_flux_SiO2,Tmax2M_Jan,-0.01,0.948
summer_flux_SiO2,Tmax2M_Jan,0.01,0.969
flux_SiO2_June,Tmax2M_Jan,0.1,0.57
flux_SiO2_July,Tmax2M_Jan,-0.01,0.956
flux_SiO2_August,Tmax2M_Jan,-0.19,0.271
annual_flux_SiO2,Tmax2M_Feb,-0.16,0.354
summer_flux_SiO2,Tmax2M_Feb,-0.03,0.845
flux_SiO2_June,Tmax2M_Feb,-0.14,0.408
flux_SiO2_July,Tmax2M_Feb,0.09,0.609
flux_SiO2_August,Tmax2M_Feb,0.13,0.451
annual_flux_SiO2,Tmax2M_Mar,-0.06,0.736
summer_flux_SiO2,Tmax2M_Mar,0.1,0.546
flux_SiO2_June,Tmax2M_Mar,0.14,0.399
flux_SiO2_July,Tmax2M_Mar,0.08,0.659
flux_SiO2_August,Tmax2M_Mar,-0.05,0.767
annual_flux_SiO2,Tmax2M_Apr,-0.55,0.001
summer_flux_SiO2,Tmax2M_Apr,-0.48,0.003
flux_SiO2_June,Tmax2M_Apr,-0.36,0.033
flux_SiO2_July,Tmax2M_Apr,-0.42,0.011
flux_SiO2_August,Tmax2M_Apr,-0.33,0.048
annual_flux_SiO2,Tmax2M_May,-0.56,0
summer_flux_SiO2,Tmax2M_May,-0.61,0
flux_SiO2_June,Tmax2M_May,-0.59,0
flux_SiO2_July,Tmax2M_May,-0.35,0.035
flux_SiO2_August,Tmax2M_May,-0.17,0.326
annual_flux_SiO2,Tmax2M_Jun,-0.59,0
summer_flux_SiO2,Tmax2M_Jun,-0.52,0.001
flux_SiO2_June,Tmax2M_Jun,-0.35,0.037
flux_SiO2_July,Tmax2M_Jun,-0.58,0
flux_SiO2_August,Tmax2M_Jun,-0.43,0.01
annual_flux_SiO2,Tmax2M_Jul,-0.1,0.572
summer_flux_SiO2,Tmax2M_Jul,-0.16,0.354
flux_SiO2_June,Tmax2M_Jul,-0.11,0.536
flux_SiO2_July,Tmax2M_Jul,-0.17,0.309
flux_SiO2_August,Tmax2M_Jul,0.07,0.677
annual_flux_SiO2,Tmax2M_Aug,-0.26,0.127
summer_flux_SiO2,Tmax2M_Aug,-0.15,0.389
flux_SiO2_June,Tmax2M_Aug,-0.18,0.284
flux_SiO2_July,Tmax2M_Aug,-0.06,0.745
flux_SiO2_August,Tmax2M_Aug,-0.26,0.133
annual_flux_SiO2,Tmax2M_Sep,-0.03,0.881
summer_flux_SiO2,Tmax2M_Sep,0.02,0.911
flux_SiO2_June,Tmax2M_Sep,0.03,0.856
flux_SiO2_July,Tmax2M_Sep,-0.05,0.774
flux_SiO2_August,Tmax2M_Sep,0.11,0.544
annual_flux_SiO2,Tmax2M_Oct,-0.15,0.368
summer_flux_SiO2,Tmax2M_Oct,-0.06,0.714
flux_SiO2_June,Tmax2M_Oct,0.04,0.8
flux_SiO2_July,Tmax2M_Oct,0.02,0.886
flux_SiO2_August,Tmax2M_Oct,-0.14,0.408
annual_flux_SiO2,Tmax2M_Nov,-0.18,0.301
summer_flux_SiO2,Tmax2M_Nov,-0.2,0.24
flux_SiO2_June,Tmax2M_Nov,-0.12,0.473
flux_SiO2_July,Tmax2M_Nov,-0.32,0.054
flux_SiO2_August,Tmax2M_Nov,-0,0.99
annual_flux_SiO2,Tmax2M_Dec,-0.19,0.278
summer_flux_SiO2,Tmax2M_Dec,-0.12,0.488
flux_SiO2_June,Tmax2M_Dec,-0.27,0.112
flux_SiO2_July,Tmax2M_Dec,-0,0.996
flux_SiO2_August,Tmax2M_Dec,-0.02,0.891
