row,column,cor,p
annual_flux_cations,annual_dep_IN,0.3,0.075
summer_flux_cations,annual_dep_IN,0.33,0.048
flux_cations_June,annual_dep_IN,0.2,0.224
flux_cations_July,annual_dep_IN,0.25,0.134
flux_cations_August,annual_dep_IN,0.43,0.007
annual_flux_cations,annual_dep_NH4_N,0.4,0.013
summer_flux_cations,annual_dep_NH4_N,0.31,0.059
flux_cations_June,annual_dep_NH4_N,0.31,0.066
flux_cations_July,annual_dep_NH4_N,0.2,0.242
flux_cations_August,annual_dep_NH4_N,0.3,0.073
annual_flux_cations,annual_dep_NO3_N,0.06,0.736
summer_flux_cations,annual_dep_NO3_N,0.1,0.564
flux_cations_June,annual_dep_NO3_N,-0.08,0.636
flux_cations_July,annual_dep_NO3_N,0.16,0.356
flux_cations_August,annual_dep_NO3_N,0.32,0.052
annual_flux_cations,annual_dep_SO4_S,-0.34,0.039
summer_flux_cations,annual_dep_SO4_S,-0.22,0.197
flux_cations_June,annual_dep_SO4_S,-0.27,0.111
flux_cations_July,annual_dep_SO4_S,-0.12,0.494
flux_cations_August,annual_dep_SO4_S,-0.09,0.612
annual_flux_cations,annual_dep_cations,-0.4,0.014
summer_flux_cations,annual_dep_cations,-0.2,0.24
flux_cations_June,annual_dep_cations,-0.06,0.719
flux_cations_July,annual_dep_cations,-0.23,0.174
flux_cations_August,annual_dep_cations,-0.21,0.202
annual_flux_cations,max_swe,0.37,0.026
summer_flux_cations,max_swe,0.49,0.002
flux_cations_June,max_swe,0.44,0.007
flux_cations_July,max_swe,0.5,0.002
flux_cations_August,max_swe,0.27,0.108
annual_flux_cations,RP,0.45,0.006
summer_flux_cations,RP,0.25,0.142
flux_cations_June,RP,0.18,0.294
flux_cations_July,RP,0.35,0.036
flux_cations_August,RP,0.3,0.076
annual_flux_cations,Tmax2M_Jan,-0.13,0.466
summer_flux_cations,Tmax2M_Jan,-0.08,0.644
flux_cations_June,Tmax2M_Jan,-0.06,0.725
flux_cations_July,Tmax2M_Jan,-0.09,0.603
flux_cations_August,Tmax2M_Jan,-0.16,0.339
annual_flux_cations,Tmax2M_Feb,-0.21,0.203
summer_flux_cations,Tmax2M_Feb,-0.15,0.381
flux_cations_June,Tmax2M_Feb,-0.15,0.392
flux_cations_July,Tmax2M_Feb,-0.04,0.826
flux_cations_August,Tmax2M_Feb,-0.08,0.654
annual_flux_cations,Tmax2M_Mar,-0.18,0.294
summer_flux_cations,Tmax2M_Mar,-0.06,0.715
flux_cations_June,Tmax2M_Mar,0.06,0.709
flux_cations_July,Tmax2M_Mar,-0.14,0.403
flux_cations_August,Tmax2M_Mar,-0.22,0.206
annual_flux_cations,Tmax2M_Apr,-0.54,0.001
summer_flux_cations,Tmax2M_Apr,-0.52,0.001
flux_cations_June,Tmax2M_Apr,-0.36,0.032
flux_cations_July,Tmax2M_Apr,-0.46,0.005
flux_cations_August,Tmax2M_Apr,-0.42,0.012
annual_flux_cations,Tmax2M_May,-0.54,0.001
summer_flux_cations,Tmax2M_May,-0.63,0
flux_cations_June,Tmax2M_May,-0.57,0
flux_cations_July,Tmax2M_May,-0.42,0.01
flux_cations_August,Tmax2M_May,-0.29,0.081
annual_flux_cations,Tmax2M_Jun,-0.53,0.001
summer_flux_cations,Tmax2M_Jun,-0.52,0.001
flux_cations_June,Tmax2M_Jun,-0.23,0.184
flux_cations_July,Tmax2M_Jun,-0.6,0
flux_cations_August,Tmax2M_Jun,-0.48,0.003
annual_flux_cations,Tmax2M_Jul,-0.11,0.527
summer_flux_cations,Tmax2M_Jul,-0.13,0.451
flux_cations_June,Tmax2M_Jul,-0.14,0.412
flux_cations_July,Tmax2M_Jul,-0.11,0.531
flux_cations_August,Tmax2M_Jul,0.16,0.361
annual_flux_cations,Tmax2M_Aug,-0.25,0.138
summer_flux_cations,Tmax2M_Aug,-0.12,0.495
flux_cations_June,Tmax2M_Aug,-0.05,0.78
flux_cations_July,Tmax2M_Aug,-0.01,0.966
flux_cations_August,Tmax2M_Aug,-0.32,0.054
annual_flux_cations,Tmax2M_Sep,-0.04,0.839
summer_flux_cations,Tmax2M_Sep,-0.01,0.963
flux_cations_June,Tmax2M_Sep,-0.05,0.776
flux_cations_July,Tmax2M_Sep,-0.05,0.776
flux_cations_August,Tmax2M_Sep,0.11,0.548
annual_flux_cations,Tmax2M_Oct,-0.16,0.356
summer_flux_cations,Tmax2M_Oct,-0.11,0.533
flux_cations_June,Tmax2M_Oct,0.05,0.753
flux_cations_July,Tmax2M_Oct,-0.11,0.514
flux_cations_August,Tmax2M_Oct,-0.22,0.203
annual_flux_cations,Tmax2M_Nov,-0.08,0.626
summer_flux_cations,Tmax2M_Nov,-0.13,0.457
flux_cations_June,Tmax2M_Nov,-0.01,0.931
flux_cations_July,Tmax2M_Nov,-0.18,0.301
flux_cations_August,Tmax2M_Nov,-0.02,0.902
annual_flux_cations,Tmax2M_Dec,-0.26,0.132
summer_flux_cations,Tmax2M_Dec,-0.15,0.38
flux_cations_June,Tmax2M_Dec,-0.24,0.167
flux_cations_July,Tmax2M_Dec,-0.02,0.916
flux_cations_August,Tmax2M_Dec,-0.22,0.207
