waterYear,date,weekofyear,chem_name,chem_value,Q_m3s,watershed_area_ha
1984,1984-04-25,17,NO3,0.98,0.019533899999999996,660
1984,1984-04-26,17,NO3,0.98,0.016985999999999998,660
1984,1984-04-27,17,NO3,0.98,0.016136699999999997,660
1984,1984-04-28,17,NO3,0.98,0.0184015,660
1984,1984-04-29,18,NO3,0.98,0.033971999999999995,660
1984,1984-04-30,18,NO3,0.98,0.0625651,660
1984,1984-05-01,18,NO3,0.98,0.0625651,660
1984,1984-05-02,18,NO3,0.98,0.049259399999999995,660
1984,1984-05-03,18,NO3,1.028888888888889,0.04756079999999999,660
1984,1984-05-04,18,NO3,1.0777777777777777,0.04756079999999999,660
1984,1984-05-05,18,NO3,1.1266666666666667,0.04756079999999999,660
1984,1984-05-06,19,NO3,1.1755555555555555,0.04756079999999999,660
1984,1984-05-07,19,NO3,1.2244444444444444,0.04756079999999999,660
1984,1984-05-08,19,NO3,1.2733333333333332,0.04756079999999999,660
1984,1984-05-09,19,NO3,1.3222222222222222,0.0430312,660
1984,1984-05-10,19,NO3,1.371111111111111,0.0450129,660
1984,1984-05-11,19,NO3,1.42,0.047843899999999995,660
1984,1984-05-12,19,NO3,1.6,0.17240789999999998,660
1984,1984-05-13,20,NO3,1.68,0.2731915,660
1984,1984-05-14,20,NO3,1.51,0.36802999999999997,660
1984,1984-05-15,20,NO3,1.68,0.34538199999999997,660
1984,1984-05-16,20,NO3,1.42,0.41615699999999994,660
1984,1984-05-17,20,NO3,1.24,0.40200199999999997,660
1984,1984-05-18,20,NO3,1.3133333333333332,0.305748,660
1984,1984-05-19,20,NO3,1.3866666666666667,0.35104399999999997,660
1984,1984-05-20,21,NO3,1.46,0.47843899999999995,660
1984,1984-05-21,21,NO3,1.42,0.48127,660
1984,1984-05-22,21,NO3,1.37,0.526566,660
1984,1984-05-23,21,NO3,1.33,0.70775,660
1984,1984-05-24,21,NO3,1.29,0.9030889999999999,660
1984,1984-05-25,21,NO3,1.51,0.42464999999999997,660
1984,1984-05-26,21,NO3,1.475,0.37369199999999997,660
1984,1984-05-27,22,NO3,1.44,0.33971999999999997,660
1984,1984-05-28,22,NO3,1.405,0.353875,660
1984,1984-05-29,22,NO3,1.37,0.433143,660
1984,1984-05-30,22,NO3,1.42,0.5067489999999999,660
1984,1984-05-31,22,NO3,1.33,0.617158,660
1984,1984-06-01,22,NO3,1.37,0.5067489999999999,660
1984,1984-06-02,22,NO3,1.415,0.433143,660
1984,1984-06-03,23,NO3,1.46,0.404833,660
1984,1984-06-04,23,NO3,1.42,0.365199,660
1984,1984-06-05,23,NO3,1.42,0.35670599999999997,660
1984,1984-06-06,23,NO3,1.42,0.314241,660
1984,1984-06-07,23,NO3,1.42,0.24884489999999995,660
1984,1984-06-08,23,NO3,1.42,0.2126081,660
1984,1984-06-09,23,NO3,1.42,0.1814671,660
1984,1984-06-10,24,NO3,1.42,0.2454477,660
1984,1984-06-11,24,NO3,1.42,0.41898799999999997,660
1984,1984-06-12,24,NO3,1.91,0.5775239999999999,660
1984,1984-06-13,24,NO3,1.5750000000000002,0.829483,660
1984,1984-06-14,24,NO3,1.37,0.8351449999999999,660
1984,1984-06-15,24,NO3,1.37,0.9568779999999999,660
1984,1984-06-16,24,NO3,1.37,0.8181589999999999,660
1984,1984-06-17,25,NO3,1.37,0.628482,660
1984,1984-06-18,25,NO3,1.37,0.617158,660
1984,1984-06-19,25,NO3,1.29,0.625651,660
1984,1984-06-20,25,NO3,1.24,0.6567919999999999,660
1984,1984-06-21,25,NO3,1.24,0.693595,660
1984,1984-06-22,25,NO3,1.22875,0.6341439999999999,660
1984,1984-06-23,25,NO3,1.2174999999999998,0.591679,660
1984,1984-06-24,26,NO3,1.2062499999999998,0.560538,660
1984,1984-06-25,26,NO3,1.1949999999999998,0.6058339999999999,660
1984,1984-06-26,26,NO3,1.1974999999999998,0.653961,660
1984,1984-06-27,26,NO3,1.2,0.65113,660
1984,1984-06-28,26,NO3,1.245,0.673778,660
1984,1984-06-29,26,NO3,1.29,0.894596,660
1984,1984-06-30,26,NO3,1.15,1.1692029999999998,660
1984,1984-07-01,27,NO3,1.15,0.922906,660
1984,1984-07-02,27,NO3,1.15,0.76437,660
1984,1984-07-03,27,NO3,1.2,0.670947,660
1984,1984-07-04,27,NO3,1.1692307692307693,0.636975,660
1984,1984-07-05,27,NO3,1.1384615384615384,0.6341439999999999,660
1984,1984-07-06,27,NO3,1.1076923076923078,0.648299,660
1984,1984-07-07,27,NO3,1.0769230769230769,0.693595,660
1984,1984-07-08,28,NO3,1.0461538461538462,0.772863,660
1984,1984-07-09,28,NO3,1.0153846153846153,1.1267379999999998,660
1984,1984-07-10,28,NO3,0.9846153846153847,0.730398,660
1984,1984-07-11,28,NO3,0.9538461538461538,0.583186,660
1984,1984-07-12,28,NO3,0.9230769230769231,0.557707,660
1984,1984-07-13,28,NO3,0.8923076923076922,0.7190739999999999,660
1984,1984-07-14,28,NO3,0.8615384615384616,0.685102,660
1984,1984-07-15,29,NO3,0.8307692307692307,0.404833,660
1984,1984-07-16,29,NO3,0.8,0.393509,660
1984,1984-07-17,29,NO3,0.7964285714285715,0.393509,660
1984,1984-07-18,29,NO3,0.7928571428571429,0.41898799999999997,660
1984,1984-07-19,29,NO3,0.7892857142857144,0.49542499999999995,660
1984,1984-07-20,29,NO3,0.7857142857142857,0.503918,660
1984,1984-07-21,29,NO3,0.7821428571428571,0.5775239999999999,660
1984,1984-07-22,30,NO3,0.7785714285714286,0.979526,660
1984,1984-07-23,30,NO3,0.775,1.378697,660
1984,1984-07-24,30,NO3,0.8525,0.8464689999999999,660
1984,1984-07-25,30,NO3,0.93,0.693595,660
1984,1984-07-26,30,NO3,0.9171428571428571,0.6341439999999999,660
1984,1984-07-27,30,NO3,0.9042857142857144,0.6454679999999999,660
1984,1984-07-28,30,NO3,0.8914285714285715,0.730398,660
1984,1984-07-29,31,NO3,0.8785714285714287,0.9427229999999999,660
1984,1984-07-30,31,NO3,0.8657142857142858,0.6794399999999999,660
1984,1984-07-31,31,NO3,0.8528571428571429,0.59451,660
1984,1984-08-01,31,NO3,0.8400000000000001,0.580355,660
1984,1984-08-02,31,NO3,0.8271428571428572,0.554876,660
1984,1984-08-03,31,NO3,0.8142857142857143,0.503918,660
1984,1984-08-04,31,NO3,0.8014285714285715,0.46994600000000003,660
1984,1984-08-05,32,NO3,0.7885714285714286,0.455791,660
1984,1984-08-06,32,NO3,0.7757142857142858,0.458622,660
1984,1984-08-07,32,NO3,0.7628571428571429,0.458622,660
1984,1984-08-08,32,NO3,0.75,0.41332599999999997,660
1984,1984-08-09,32,NO3,0.7371428571428572,0.35104399999999997,660
1984,1984-08-10,32,NO3,0.7242857142857143,0.336889,660
1984,1984-08-11,32,NO3,0.7114285714285715,0.334058,660
1984,1984-08-12,33,NO3,0.6985714285714286,0.336889,660
1984,1984-08-13,33,NO3,0.6857142857142857,0.348213,660
1984,1984-08-14,33,NO3,0.6728571428571428,0.35670599999999997,660
1984,1984-08-15,33,NO3,0.66,0.342551,660
1984,1984-08-16,33,NO3,0.6679310344827587,0.36802999999999997,660
1984,1984-08-17,33,NO3,0.6758620689655173,0.37935399999999997,660
1984,1984-08-18,33,NO3,0.6837931034482759,0.370861,660
1984,1984-08-19,34,NO3,0.6917241379310345,0.435974,660
1984,1984-08-20,34,NO3,0.6996551724137932,0.501087,660
1984,1984-08-21,34,NO3,0.7075862068965517,0.49825600000000003,660
1984,1984-08-22,34,NO3,0.7155172413793104,0.441636,660
1984,1984-08-23,34,NO3,0.723448275862069,0.42748099999999994,660
1984,1984-08-24,34,NO3,0.7313793103448276,0.430312,660
1984,1984-08-25,34,NO3,0.7393103448275863,0.393509,660
1984,1984-08-26,35,NO3,0.7472413793103448,0.39633999999999997,660
1984,1984-08-27,35,NO3,0.7551724137931035,0.365199,660
1984,1984-08-28,35,NO3,0.7631034482758621,0.297255,660
1984,1984-08-29,35,NO3,0.7710344827586207,0.2734746,660
1984,1984-08-30,35,NO3,0.7789655172413793,0.26441539999999997,660
1984,1984-08-31,35,NO3,0.786896551724138,0.450129,660
1984,1984-09-01,35,NO3,0.7948275862068965,0.503918,660
1984,1984-09-02,36,NO3,0.8027586206896552,0.37369199999999997,660
1984,1984-09-03,36,NO3,0.8106896551724139,0.30008599999999996,660
1984,1984-09-04,36,NO3,0.8186206896551724,0.2601689,660
1984,1984-09-05,36,NO3,0.826551724137931,0.2332744,660
1984,1984-09-06,36,NO3,0.8344827586206897,0.24374909999999997,660
1984,1984-09-07,36,NO3,0.8424137931034483,0.22648,660
1984,1984-09-08,36,NO3,0.8503448275862069,0.2086447,660
1984,1984-09-09,37,NO3,0.8582758620689656,0.19590519999999997,660
1984,1984-09-10,37,NO3,0.8662068965517242,0.1964714,660
1984,1984-09-11,37,NO3,0.8741379310344828,0.20383199999999999,660
1984,1984-09-12,37,NO3,0.8820689655172413,0.21600529999999998,660
1984,1984-09-13,37,NO3,0.89,0.21855319999999998,660
1985,1984-10-24,43,NO3,NA,0.0713412,660
1985,1984-10-25,43,NO3,NA,0.0713412,660
1985,1984-10-26,43,NO3,NA,0.0713412,660
1985,1984-10-27,43,NO3,NA,0.0713412,660
1985,1984-10-28,44,NO3,NA,0.0713412,660
1985,1984-10-29,44,NO3,NA,0.0713412,660
1985,1984-10-30,44,NO3,NA,0.0713412,660
1985,1984-10-31,44,NO3,NA,0.0302917,660
1985,1984-11-01,44,NO3,NA,0.0302917,660
1985,1984-11-02,44,NO3,NA,0.0302917,660
1985,1984-11-03,44,NO3,NA,0.0302917,660
1985,1984-11-04,45,NO3,NA,0.0302917,660
1985,1984-11-05,45,NO3,NA,0.0302917,660
1985,1984-11-06,45,NO3,NA,0.0302917,660
1985,1984-11-07,45,NO3,NA,0.0302917,660
1985,1984-11-08,45,NO3,NA,0.0302917,660
1985,1984-11-09,45,NO3,NA,0.0302917,660
1985,1984-11-10,45,NO3,NA,0.0302917,660
1985,1984-11-11,46,NO3,NA,0.0302917,660
1985,1984-11-12,46,NO3,NA,0.0302917,660
1985,1984-11-13,46,NO3,NA,0.0302917,660
1985,1984-11-14,46,NO3,NA,0.0302917,660
1985,1984-11-15,46,NO3,NA,0.0302917,660
1985,1984-11-16,46,NO3,NA,0.0302917,660
1985,1984-11-17,46,NO3,NA,0.0302917,660
1985,1984-11-18,47,NO3,NA,0.0302917,660
1985,1984-11-19,47,NO3,NA,0.0302917,660
1985,1984-11-20,47,NO3,NA,0.0302917,660
1985,1984-11-21,47,NO3,NA,0.0302917,660
1985,1984-11-22,47,NO3,NA,0.0302917,660
1985,1984-11-23,47,NO3,NA,0.0302917,660
1985,1984-11-24,47,NO3,NA,0.0302917,660
1985,1984-11-25,48,NO3,NA,0.0302917,660
1985,1984-11-26,48,NO3,NA,0.0302917,660
1985,1984-11-27,48,NO3,NA,0.0302917,660
1985,1984-11-28,48,NO3,NA,0.0302917,660
1985,1984-11-29,48,NO3,NA,0.0302917,660
1985,1984-11-30,48,NO3,NA,0.010191599999999999,660
1985,1984-12-01,48,NO3,NA,0.010191599999999999,660
1985,1984-12-02,49,NO3,NA,0.010191599999999999,660
1985,1984-12-03,49,NO3,NA,0.010191599999999999,660
1985,1984-12-04,49,NO3,NA,0.010191599999999999,660
1985,1984-12-05,49,NO3,NA,0.010191599999999999,660
1985,1984-12-06,49,NO3,NA,0.010191599999999999,660
1985,1984-12-07,49,NO3,NA,0.010191599999999999,660
1985,1984-12-08,49,NO3,NA,0.010191599999999999,660
1985,1984-12-09,50,NO3,NA,0.010191599999999999,660
1985,1984-12-10,50,NO3,NA,0.010191599999999999,660
1985,1984-12-11,50,NO3,NA,0.010191599999999999,660
1985,1984-12-12,50,NO3,NA,0.010191599999999999,660
1985,1984-12-13,50,NO3,NA,0.010191599999999999,660
1985,1984-12-14,50,NO3,NA,0.010191599999999999,660
1985,1984-12-15,50,NO3,NA,0.010191599999999999,660
1985,1984-12-16,51,NO3,NA,0.010191599999999999,660
1985,1984-12-17,51,NO3,NA,0.010191599999999999,660
1985,1984-12-18,51,NO3,NA,0.010191599999999999,660
1985,1984-12-19,51,NO3,NA,0.010191599999999999,660
1985,1984-12-20,51,NO3,NA,0.010191599999999999,660
1985,1984-12-21,51,NO3,NA,0.010191599999999999,660
1985,1984-12-22,51,NO3,NA,0.010191599999999999,660
1985,1984-12-23,52,NO3,NA,0.010191599999999999,660
1985,1984-12-24,52,NO3,NA,0.010191599999999999,660
1985,1984-12-25,52,NO3,NA,0.010191599999999999,660
1985,1984-12-26,52,NO3,NA,0.010191599999999999,660
1985,1984-12-27,52,NO3,NA,0.010191599999999999,660
1985,1984-12-28,52,NO3,NA,0.010191599999999999,660
1985,1984-12-29,52,NO3,NA,0.010191599999999999,660
1985,1984-12-30,53,NO3,NA,0.010191599999999999,660
1985,1984-12-31,53,NO3,NA,2.831e-4,660
1985,1985-01-01,1,NO3,NA,2.831e-4,660
1985,1985-01-02,1,NO3,NA,2.831e-4,660
1985,1985-01-03,1,NO3,NA,2.831e-4,660
1985,1985-01-04,1,NO3,NA,2.831e-4,660
1985,1985-01-05,1,NO3,NA,2.831e-4,660
1985,1985-01-06,1,NO3,NA,2.831e-4,660
1985,1985-01-07,1,NO3,NA,2.831e-4,660
1985,1985-01-08,2,NO3,NA,2.831e-4,660
1985,1985-01-09,2,NO3,NA,2.831e-4,660
1985,1985-01-10,2,NO3,NA,2.831e-4,660
1985,1985-01-11,2,NO3,NA,2.831e-4,660
1985,1985-01-12,2,NO3,NA,2.831e-4,660
1985,1985-01-13,2,NO3,NA,2.831e-4,660
1985,1985-01-14,2,NO3,NA,2.831e-4,660
1985,1985-01-15,3,NO3,NA,2.831e-4,660
1985,1985-01-16,3,NO3,NA,2.831e-4,660
1985,1985-01-17,3,NO3,NA,2.831e-4,660
1985,1985-01-18,3,NO3,NA,2.831e-4,660
1985,1985-01-19,3,NO3,NA,2.831e-4,660
1985,1985-01-20,3,NO3,NA,2.831e-4,660
1985,1985-01-21,3,NO3,NA,2.831e-4,660
1985,1985-01-22,4,NO3,NA,2.831e-4,660
1985,1985-01-23,4,NO3,NA,2.831e-4,660
1985,1985-01-24,4,NO3,NA,2.831e-4,660
1985,1985-01-25,4,NO3,NA,2.831e-4,660
1985,1985-01-26,4,NO3,NA,2.831e-4,660
1985,1985-01-27,4,NO3,NA,2.831e-4,660
1985,1985-01-28,4,NO3,NA,2.831e-4,660
1985,1985-01-29,5,NO3,NA,2.831e-4,660
1985,1985-01-30,5,NO3,NA,2.831e-4,660
1985,1985-01-31,5,NO3,NA,2.831e-4,660
1985,1985-02-01,5,NO3,NA,2.831e-4,660
1985,1985-02-02,5,NO3,NA,2.831e-4,660
1985,1985-02-03,5,NO3,NA,2.831e-4,660
1985,1985-02-04,5,NO3,NA,2.831e-4,660
1985,1985-02-05,6,NO3,NA,2.831e-4,660
1985,1985-02-06,6,NO3,NA,2.831e-4,660
