date,weekofyear,waterYear,ppt_mm
1983-08-20,34,1983,13.21
1983-08-27,35,1983,6.35
1983-09-03,36,1983,23.37
1983-09-10,37,1983,3.56
1983-09-17,38,1983,14.73
1983-09-24,39,1983,5.08
1983-10-01,40,1984,14.73
1983-10-08,41,1984,24.38
1983-10-15,42,1984,25.4
1983-10-22,43,1984,12.94
1983-10-29,44,1984,0.1
1983-11-05,45,1984,6.83
1983-11-12,46,1984,52.07
1983-11-19,47,1984,41.4
1983-11-26,48,1984,46.23
1983-12-03,49,1984,33.53
1983-12-10,50,1984,93.15
1983-12-17,51,1984,40.16
1983-12-24,52,1984,95.87
1983-12-31,53,1984,18.29
1984-01-07,1,1984,1.27
1984-01-14,2,1984,14.73
1984-01-21,3,1984,2.79
1984-01-28,4,1984,7.87
1984-02-04,5,1984,0
1984-02-11,6,1984,11.68
1984-02-18,7,1984,6.86
1984-02-25,8,1984,17.02
1984-03-03,9,1984,7.62
1984-03-10,10,1984,17.78
1984-03-17,11,1984,23.37
1984-03-24,12,1984,37.85
1984-03-31,13,1984,24.38
1984-04-07,14,1984,13.72
1984-04-14,15,1984,33.53
1984-04-21,16,1984,73.91
1984-04-28,17,1984,42.16
1984-05-05,18,1984,52.58
1984-05-12,19,1984,1.78
1984-05-19,20,1984,2.29
1984-05-26,21,1984,29.46
1984-06-02,22,1984,25.15
1984-06-09,23,1984,60.96
1984-06-16,24,1984,9.91
1984-06-23,25,1984,1.02
1984-06-30,26,1984,13.97
1984-07-07,27,1984,19.05
1984-07-14,28,1984,11.94
1984-07-21,29,1984,38.61
1984-07-28,30,1984,40.13
1984-08-04,31,1984,12.95
1984-08-11,32,1984,8.64
1984-08-18,33,1984,24.89
1984-08-25,34,1984,24.64
1984-09-01,35,1984,34.8
1984-09-08,36,1984,14.22
1984-09-15,37,1984,26.92
1984-09-22,38,1984,20.04
1984-09-29,39,1984,21.85
1984-10-06,40,1985,46.48
1984-10-13,41,1985,57.15
1984-10-20,42,1985,35.81
1984-10-27,43,1985,19.56
1984-11-03,44,1985,9.65
1984-11-10,45,1985,10.92
1984-11-17,46,1985,6.1
1984-11-24,47,1985,4.57
1984-12-01,48,1985,24.13
1984-12-08,49,1985,8.38
1984-12-15,50,1985,42.42
1984-12-22,51,1985,12.95
1984-12-30,53,1985,14.73
1985-01-05,1,1985,7.37
1985-01-12,2,1985,8.89
1985-01-19,3,1985,41.66
1985-01-26,4,1985,7.62
1985-02-02,5,1985,21.59
1985-02-09,6,1985,26.67
1985-02-16,7,1985,7.37
1985-02-23,8,1985,22.86
1985-03-02,9,1985,24.64
1985-03-09,10,1985,25.4
1985-03-16,11,1985,16.26
1985-03-23,12,1985,16
1985-03-30,13,1985,62.74
1985-04-06,14,1985,31.24
1985-04-13,15,1985,4.57
1985-04-20,16,1985,40.89
1985-04-27,17,1985,31.5
1985-05-04,18,1985,20.07
1985-05-11,19,1985,21.59
1985-05-18,20,1985,15.24
1985-05-25,21,1985,9.91
1985-06-01,22,1985,6.35
1985-06-08,23,1985,9.91
1985-06-15,24,1985,9.65
1985-06-22,25,1985,18.8
1985-06-29,26,1985,20.83
1985-07-06,27,1985,2.54
1985-07-13,28,1985,11.68
1985-07-20,29,1985,32.77
1985-07-27,30,1985,16.51
1985-08-03,31,1985,5.08
1985-08-10,32,1985,14.73
1985-08-17,33,1985,4.06
1985-08-24,34,1985,7.62
1985-08-31,35,1985,19.81
1985-09-07,36,1985,24.64
1985-09-14,37,1985,18.29
1985-09-21,38,1985,22.35
1985-09-28,39,1985,40.39
1985-10-05,40,1986,18.44
1985-10-12,41,1986,31.75
1985-10-19,42,1986,3.3
1985-10-26,43,1986,0.51
1985-11-02,44,1986,7.37
1985-11-09,45,1986,88.14
1985-11-16,46,1986,35.56
1985-11-23,47,1986,59.69
1985-11-30,48,1986,36.32
1985-12-07,49,1986,35.31
1985-12-14,50,1986,10.16
