"waterYear","deposition_name","deposition_kg_per_ha_impute","annual_ppt_mm"
1983,"Inorganic N",0.3181245694,66.3
1983,"NH4-N",0.122055045,66.3
1983,"NO3-N",0.196115342,66.3
1983,"SO4-S",0.287872839,66.3
1983,"cations",0.3610867,66.3
1984,"Inorganic N",3.47718246145,1337.42
1984,"NH4-N",1.43607298561944,1337.42
1984,"NO3-N",2.0423230591604,1337.42
1984,"SO4-S",3.2022629205,1337.42
1984,"cations",4.2331902,1337.42
1985,"Inorganic N",3.10436629214,1049.41
1985,"NH4-N",1.08729556574142,1049.41
1985,"NO3-N",2.0163301112616,1049.41
1985,"SO4-S",2.829865524,1049.41
1985,"cations",4.31454331666667,1049.41
1986,"Inorganic N",3.29110410721,1280.27
1986,"NH4-N",1.16947567690233,1280.27
1986,"NO3-N",2.1189782597966,1280.27
1986,"SO4-S",2.3488787145,1280.27
1986,"cations",3.0523528,1280.27
1987,"Inorganic N",2.17494650769,969.52
1987,"NH4-N",0.8052279095343,969.52
1987,"NO3-N",1.3710265871788,969.52
1987,"SO4-S",1.958217156,969.52
1987,"cations",2.4497954,969.52
1988,"Inorganic N",1.93680505072,1070.88
1988,"NH4-N",0.61732789732572,1070.88
1988,"NO3-N",1.3203281136474,1070.88
1988,"SO4-S",1.857836082,1070.88
1988,"cations",2.67792961666667,1070.88
1989,"Inorganic N",2.42999362974,1033.78
1989,"NH4-N",0.98157177404496,1033.78
1989,"NO3-N",1.4487888015584,1033.78
1989,"SO4-S",1.890188475,1033.78
1989,"cations",2.6949224,1033.78
1990,"Inorganic N",2.88751383368222,1104.71
1990,"NH4-N",1.08141701235468,1104.71
1990,"NO3-N",1.8092673823264,1104.71
1990,"SO4-S",1.716118608,1104.71
1990,"cations",2.9744608,1104.71
1991,"Inorganic N",2.67751240781,1020.16
1991,"NH4-N",1.00206790412379,1020.16
1991,"NO3-N",1.6758770149268,1020.16
1991,"SO4-S",1.8259580475,1020.16
1991,"cations",2.58290233333333,1020.16
1992,"Inorganic N",2.30856086301,851.68
1992,"NH4-N",0.91147235817708,851.68
1992,"NO3-N",1.3973855557393,851.68
1992,"SO4-S",1.865802108,851.68
1992,"cations",2.09804453333333,851.68
1993,"Inorganic N",2.94214374055,1242.62
1993,"NH4-N",1.05956914391853,1242.62
1993,"NO3-N",1.8836531099918,1242.62
1993,"SO4-S",2.1191299155,1242.62
1993,"cations",2.4461284,1242.62
1994,"Inorganic N",3.92685046665,1173.41
1994,"NH4-N",1.63940390311971,1173.41
1994,"NO3-N",2.2883819748018,1173.41
1994,"SO4-S",2.442782439,1173.41
1994,"cations",4.08145503333333,1173.41
1995,"Inorganic N",3.30835234672,1472.9
1995,"NH4-N",1.21927405052875,1472.9
1995,"NO3-N",2.08973432113291,1472.9
1995,"SO4-S",1.955859516,1472.9
1995,"cations",2.2587989,1472.9
1996,"Inorganic N",2.83474633374222,1200.38
1996,"NH4-N",1.17668988738733,1200.38
1996,"NO3-N",1.65872203474233,1200.38
1996,"SO4-S",1.833739758,1200.38
1996,"cations",2.78020865,1200.38
1997,"Inorganic N",3.30251112232,1487.96
1997,"NH4-N",1.17417109829859,1487.96
1997,"NO3-N",2.1296102372672,1487.96
1997,"SO4-S",2.0387951085,1487.96
1997,"cations",2.74899596666667,1487.96
1998,"Inorganic N",2.581930174181,1052.225
1998,"NH4-N",0.892880949816681,1052.225
1998,"NO3-N",1.68969236014314,1052.225
1998,"SO4-S",1.49902413978,1052.225
1998,"cations",1.8697666,1052.225
1999,"Inorganic N",3.267047842955,1148.957
1999,"NH4-N",1.07964640504793,1148.957
1999,"NO3-N",2.18382284596889,1148.957
1999,"SO4-S",1.1436078474,1148.957
1999,"cations",1.89445265,1148.957
2000,"Inorganic N",3.23748472292,989.166
2000,"NH4-N",1.43194380538188,989.166
2000,"NO3-N",1.8055784008018,989.166
2000,"SO4-S",1.32352464051,989.166
2000,"cations",2.04839353,989.166
2001,"Inorganic N",3.793994157345,1020.843
2001,"NH4-N",1.6626413283438,1020.843
2001,"NO3-N",2.1301899153796,1020.843
2001,"SO4-S",1.535041702275,1020.843
2001,"cations",2.035815765,1020.843
2002,"Inorganic N",2.67625034541,675.26
2002,"NH4-N",1.1954731113633,675.26
2002,"NO3-N",1.478433350062,675.26
2002,"SO4-S",0.9071770815,675.26
2002,"cations",2.83564916666667,675.26
2003,"Inorganic N",3.26523575742111,1049.476
2003,"NH4-N",1.52026822861396,1049.476
2003,"NO3-N",1.74427699998544,1049.476
2003,"SO4-S",1.2224971569,1049.476
2003,"cations",2.74083119666667,1049.476
2004,"Inorganic N",3.82077691764,1139.03
2004,"NH4-N",1.85497157094732,1139.03
2004,"NO3-N",1.9639459078886,1139.03
2004,"SO4-S",1.5841138116,1139.03
2004,"cations",2.38270598666667,1139.03
2005,"Inorganic N",3.0921044527,1059.05
2005,"NH4-N",1.41041784798012,1059.05
2005,"NO3-N",1.6818753946048,1059.05
2005,"SO4-S",1.41647150394,1059.05
2005,"cations",1.74896226,1059.05
2006,"Inorganic N",2.75168065036,NA
2006,"NH4-N",1.20346182276852,NA
2006,"NO3-N",1.548227182065,NA
2006,"SO4-S",1.07391459375,NA
2006,"cations",3.82597711,NA
2007,"Inorganic N",3.73916901057,1170.611
2007,"NH4-N",1.70756490965366,1170.611
2007,"NO3-N",2.0313112592081,1170.611
2007,"SO4-S",1.12353150162,1170.611
2007,"cations",1.96191556666667,1170.611
2008,"Inorganic N",3.051626306565,1119.505
2008,"NH4-N",1.43348790519403,1119.505
2008,"NO3-N",1.62097999615773,1119.505
2008,"SO4-S",0.90527663496,1119.505
2008,"cations",2.23753087333333,1119.505
2009,"Inorganic N",2.597120134132,1194.671
2009,"NH4-N",1.21686465856148,1194.671
2009,"NO3-N",1.38557606241506,1194.671
2009,"SO4-S",0.96927997977,1194.671
2009,"cations",3.11770303333333,1194.671
2010,"Inorganic N",2.736626993748,1190.612
2010,"NH4-N",1.20561043216148,1190.612
2010,"NO3-N",1.53336284440844,1190.612
2010,"SO4-S",0.96201231804,1190.612
2010,"cations",3.34610967333333,1190.612
2011,"Inorganic N",3.735297775919,1753.785
2011,"NH4-N",1.63450326017265,1753.785
2011,"NO3-N",2.10532371060158,1753.785
2011,"SO4-S",1.44492450246,1753.785
2011,"cations",3.35064461,1753.785
2012,"Inorganic N",2.692162477488,980.186
2012,"NH4-N",1.34784890613576,980.186
2012,"NO3-N",1.34312760797868,980.186
2012,"SO4-S",1.22723068752,980.186
2012,"cations",3.86336201333333,980.186
2013,"Inorganic N",3.24406020156267,NA
2013,"NH4-N",1.90925210919198,NA
2013,"NO3-N",1.33421600914795,NA
2013,"SO4-S",0.81800535027,NA
2013,"cations",1.41236319,NA
2014,"Inorganic N",3.29472677964689,NA
2014,"NH4-N",1.73336060567988,NA
2014,"NO3-N",1.56131570528456,NA
2014,"SO4-S",1.22877200651,NA
2014,"cations",2.56859991666667,NA
2015,"Inorganic N",2.70188079406578,1169.67
2015,"NH4-N",1.31974808388489,1169.67
2015,"NO3-N",1.38612593047733,1169.67
2015,"SO4-S",0.9843526287,1169.67
2015,"cations",2.13192106,1169.67
2016,"Inorganic N",2.74101294576,1090.18
2016,"NH4-N",1.64509383391773,1090.18
2016,"NO3-N",1.09981954419164,1090.18
2016,"SO4-S",0.91969518753,1090.18
2016,"cations",2.31963087,1090.18
2017,"Inorganic N",2.899622085006,1319.441
2017,"NH4-N",1.7349605581628,1319.441
2017,"NO3-N",1.16891764074972,1319.441
2017,"SO4-S",0.780277605225,1319.441
2017,"cations",1.569617035,1319.441
2018,"Inorganic N",2.3771147873975,NA
2018,"NH4-N",1.41376098811794,NA
2018,"NO3-N",0.96071857843572,NA
2018,"SO4-S",0.670225833825,NA
2018,"cations",2.73121391833333,NA
2019,"Inorganic N",2.417856210233,1111.164
2019,"NH4-N",1.34836609394802,1111.164
2019,"NO3-N",1.0677050711494,1111.164
2019,"SO4-S",0.642871676475,1111.164
2019,"cations",1.67133778,1111.164
2020,"Inorganic N",2.73973777183944,NA
2020,"NH4-N",1.70390602476187,NA
2020,"NO3-N",1.03314398602046,NA
2020,"SO4-S",0.69631968811,NA
2020,"cations",2.17134432277778,NA
2021,"Inorganic N",3.42707273657544,1159.891
2021,"NH4-N",2.31047913052348,1159.891
2021,"NO3-N",1.11453540768086,1159.891
2021,"SO4-S",0.795426960705,1159.891
2021,"cations",3.8946582,1159.891
2022,"Inorganic N",3.106962119812,1299.243
2022,"NH4-N",1.90690345767117,1299.243
2022,"NO3-N",1.20342322711001,1299.243
2022,"SO4-S",0.68346473445,1299.243
2022,"cations",3.24275537,1299.243
2023,"Inorganic N",0.427531407699,NA
2023,"NH4-N",0.20539935171,NA
2023,"NO3-N",0.22211688495,NA
2023,"SO4-S",0.14799439413,NA
2023,"cations",0.36920043,NA
NA,"Inorganic N",4.12054652784667,1964.324
NA,"NH4-N",2.12527158354745,1964.324
NA,"NO3-N",2.00211333538013,1964.324
NA,"SO4-S",0,1964.324
NA,"cations",0,1964.324
