"waterYear","month","deposition_name","deposition_kg_per_ha_impute"
1983,"August","Inorganic N",0.0851453192
1983,"August","NH4-N",0.028739676
1983,"August","NO3-N",0.056425194
1983,"August","SO4-S",0.059825448
1983,"August","cations",0.0623512
1984,"August","Inorganic N",0.1872569735
1984,"August","NH4-N",0.0581911474032
1984,"August","NO3-N",0.12899629808
1984,"August","SO4-S",0.138349512
1984,"August","cations",0.0851829
1984,"July","Inorganic N",0.334849076
1984,"July","NH4-N",0.1224238652217
1984,"July","NO3-N",0.212259161693
1984,"July","SO4-S",0.298606761
1984,"July","cations",0.2218919
1984,"June","Inorganic N",0.1520708334
1984,"June","NH4-N",0.05803413
1984,"June","NO3-N",0.094059392
1984,"June","SO4-S",0.172596231
1984,"June","cations",0.1572252
1985,"August","Inorganic N",0.1618100252
1985,"August","NH4-N",0.0534772251552
1985,"August","NO3-N",0.108323692072
1985,"August","SO4-S",0.17171145
1985,"August","cations",0.2221971
1985,"July","Inorganic N",0.2995658761
1985,"July","NH4-N",0.129919062
1985,"July","NO3-N",0.169662042
1985,"July","SO4-S",0.210879909
1985,"July","cations",0.1858995
1985,"June","Inorganic N",0.2201061086
1985,"June","NH4-N",0.0764990106027
1985,"June","NO3-N",0.143278481306
1985,"June","SO4-S",0.214512939
1985,"June","cations",0.3071804
1986,"August","Inorganic N",0.2491914112
1986,"August","NH4-N",0.0897554264838
1986,"August","NO3-N",0.158249260768
1986,"August","SO4-S",0
1986,"August","cations",0
1986,"July","Inorganic N",0.2377416131
1986,"July","NH4-N",0.0856537370346
1986,"July","NO3-N",0.151267964602
1986,"July","SO4-S",0
1986,"July","cations",0
1986,"June","Inorganic N",0.2173830574
1986,"June","NH4-N",0.0800887638894
1986,"June","NO3-N",0.13727794152
1986,"June","SO4-S",0
1986,"June","cations",0
1987,"August","Inorganic N",0.2335538001
1987,"August","NH4-N",0.06240864
1987,"August","NO3-N",0.171229352
1987,"August","SO4-S",0.182698785
1987,"August","cations",0.1721055
1987,"July","Inorganic N",0.27843745538
1987,"July","NH4-N",0.112358862
1987,"July","NO3-N",0.166108644
1987,"July","SO4-S",0.195109362
1987,"July","cations",0.2209988
1987,"June","Inorganic N",0.16067216674
1987,"June","NH4-N",0.072161544
1987,"June","NO3-N",0.088514256
1987,"June","SO4-S",0.107750142
1987,"June","cations",0.1269012
1988,"August","Inorganic N",0.1528347878
1988,"August","NH4-N",0.0497483270193
1988,"August","NO3-N",0.103243006186
1988,"August","SO4-S",0.1034895735
1988,"August","cations",0.07697155
1988,"July","Inorganic N",0.19332524439
1988,"July","NH4-N",0.040964994
1988,"July","NO3-N",0.152449882
1988,"July","SO4-S",0.267483249
1988,"July","cations",0.3395646
1988,"June","Inorganic N",0.2112803661
1988,"June","NH4-N",0.0649555668237
1988,"June","NO3-N",0.146313101278
1988,"June","SO4-S",0.197927541
1988,"June","cations",0.26611195
1989,"August","Inorganic N",0.3454397747
1989,"August","NH4-N",0.159769848
1989,"August","NO3-N",0.185668944
1989,"August","SO4-S",0.219525255
1989,"August","cations",0.1956988
1989,"July","Inorganic N",0.5341821935
1989,"July","NH4-N",0.2636292384684
1989,"July","NO3-N",0.270554233024
1989,"July","SO4-S",0.214140645
1989,"July","cations",0.1392873
1989,"June","Inorganic N",0.1038015709
1989,"June","NH4-N",0.040702368
1989,"June","NO3-N",0.063112534
1989,"June","SO4-S",0.064959309
1989,"June","cations",0.0961347
1990,"August","Inorganic N",0.3404424268
1990,"August","NH4-N",0.166074426
1990,"August","NO3-N",0.17435109
1990,"August","SO4-S",0.198199935
1990,"August","cations",0.1747642
1990,"July","Inorganic N",0.34128277
1990,"July","NH4-N",0.158167674
1990,"July","NO3-N",0.183113336
1990,"July","SO4-S",0.204755706
1990,"July","cations",0.1432616
1990,"June","Inorganic N",0.0710110468
1990,"June","NH4-N",0.039215967
1990,"June","NO3-N",0.031783058
1990,"June","SO4-S",0.037849779
1990,"June","cations",0.0782677
1991,"August","Inorganic N",0.2226364407
1991,"August","NH4-N",0.081234573
1991,"August","NO3-N",0.141441648
1991,"August","SO4-S",0.183971178
1991,"August","cations",0.1123483
1991,"July","Inorganic N",0.2310106852
1991,"July","NH4-N",0.074720982
1991,"July","NO3-N",0.15634906
1991,"July","SO4-S",0.155481696
1991,"July","cations",0.1165088
1991,"June","Inorganic N",0.196842814
1991,"June","NH4-N",0.0798838310718
1991,"June","NO3-N",0.116817548156
1991,"June","SO4-S",0.1620316395
1991,"June","cations",0.33711715
1992,"August","Inorganic N",0.1748312064
1992,"August","NH4-N",0.067551603
1992,"August","NO3-N",0.10730367
1992,"August","SO4-S",0.126346194
1992,"August","cations",0.1347002
1992,"July","Inorganic N",0.2113796358
1992,"July","NH4-N",0.094525158
1992,"July","NO3-N",0.116859854
1992,"July","SO4-S",0.156593916
1992,"July","cations",0.1352879
1992,"June","Inorganic N",0.26312462
1992,"June","NH4-N",0.108519705
1992,"June","NO3-N",0.154628748
1992,"June","SO4-S",0.204044418
1992,"June","cations",0.3321631
1993,"August","Inorganic N",0.2244543695
1993,"August","NH4-N",0.079690674
1993,"August","NO3-N",0.144807918
1993,"August","SO4-S",0.153482364
1993,"August","cations",0.1337795
1993,"July","Inorganic N",0.1296182038
1993,"July","NH4-N",0.0537403550397
1993,"July","NO3-N",0.076132378858
1993,"July","SO4-S",0.1028958345
1993,"July","cations",0.1755965
1993,"June","Inorganic N",0.156760421
1993,"June","NH4-N",0.037245495
1993,"June","NO3-N",0.119579764
1993,"June","SO4-S",0.167803362
1993,"June","cations",0.4798346
1994,"August","Inorganic N",0.4257077531
1994,"August","NH4-N",0.193668804
1994,"August","NO3-N",0.232043692
1994,"August","SO4-S",0.234654444
1994,"August","cations",0.1966387
1994,"July","Inorganic N",0.1632794114
1994,"July","NH4-N",0.062406486933
1994,"July","NO3-N",0.10087869227
1994,"July","SO4-S",0.129752118
1994,"July","cations",0.2555112
1994,"June","Inorganic N",0.1693958081
1994,"June","NH4-N",0.073141860036
1994,"June","NO3-N",0.096011514912
1994,"June","SO4-S",0.107044515
1994,"June","cations",0.089954
1995,"August","Inorganic N",0.1919105116
1995,"August","NH4-N",0.070051212
1995,"August","NO3-N",0.121893552
1995,"August","SO4-S",0.110428461
1995,"August","cations",0.1287531
1995,"July","Inorganic N",0.2032261747
1995,"July","NH4-N",0.0802947371877
1995,"July","NO3-N",0.123112751488
1995,"July","SO4-S",0.132920613
1995,"July","cations",0.1636395
1995,"June","Inorganic N",0.3289715798
1995,"June","NH4-N",0.148413216
1995,"June","NO3-N",0.180564282
1995,"June","SO4-S",0.265376025
1995,"June","cations",0.3416808
1996,"August","Inorganic N",0.2965758388
1996,"August","NH4-N",0.129795519
1996,"August","NO3-N",0.166793198
1996,"August","SO4-S",0.127571634
1996,"August","cations",0.18416
1996,"July","Inorganic N",0.18315955748
1996,"July","NH4-N",0.074798682
1996,"July","NO3-N",0.108378752
1996,"July","SO4-S",0.130087116
1996,"July","cations",0.1286764
1996,"June","Inorganic N",0.1750268026
1996,"June","NH4-N",0.0823448920917
1996,"June","NO3-N",0.092414182964
1996,"June","SO4-S",0.0888965145
1996,"June","cations",0.10803565
1997,"August","Inorganic N",0.3072921972
1997,"August","NH4-N",0.1188881138235
1997,"August","NO3-N",0.18846795174
1997,"August","SO4-S",0.1702424205
1997,"August","cations",0.1666748
1997,"July","Inorganic N",0.2359189719
1997,"July","NH4-N",0.1062619285476
1997,"July","NO3-N",0.129928558024
1997,"July","SO4-S",0.112367187
1997,"July","cations",0.0984123
1997,"June","Inorganic N",0.2272183162
1997,"June","NH4-N",0.1059611648235
1997,"June","NO3-N",0.12127656974
1997,"June","SO4-S",0.1502810685
